generation_id,source_id,model,prompt_condition,output_headline,source_relevance,local_specificity,topic_nuance_target,satirical_bite,coherence_nonrandomness,failure_tags,notes,scorer
local_satire_833c2ed954,ucsb_bear_sighting_001,gpt-5.4-mini,source_grounded,"UCSB Sends Bear Emergency Alert, Urges Students to Stand Tall and Act Like They’ve Seen a Syllabus",,,,,,,,
local_satire_d96fe5a912,ucsb_bear_sighting_001,gpt-5.4-mini,target_first_rank,"UCSB Issues Emergency Alert, Then Realizes It’s Just a Bear Trying to Find Pollock Theater",,,,,,,,
local_satire_64fa8c88a4,jesus_burgers_001,gemini-3.5-flash,generic_issue,Local Sophomore Only Accepts Jesus Christ as Savior Between Hours of 11:00 PM and 2:00 AM on Friday Nights**,,,,,,,,
local_satire_1d93e3658f,jesus_burgers_001,gemini-3.5-flash,source_grounded,Local Christian Group Trying To Save Souls By Giving Drunk UCSB Students The Only Thing They Actually Care About,,,,,,,,
local_satire_6738a94882,jesus_burgers_001,gemini-3.5-flash,target_first_rank,Local Student Not Entirely Sure If He Accepted Jesus Christ As His Savior Or Just Really Wanted A Slice Of American Cheese,,,,,,,,
local_satire_d68625d83e,jesus_burgers_001,gpt-5.4-mini,generic_issue,"Jesus Burgers Tradition Helps Isla Vista Students Find God, Free Food, and A Reason to Stay on Del Playa Until 2 A.M.",,,,,,,,
local_satire_32571de8ae,jesus_burgers_001,gpt-5.4-mini,source_grounded,"Isla Vista’s Friday-Night Economy Now Powered by Free Burgers, Blessings and Regrettable Decisions",,,,,,,,
local_satire_d0997ca802,jesus_burgers_001,gpt-5.4-mini,target_first_rank,"Jesus Burgers Now Most Reliable Thing On Del Playa Besides Regret, Hunger, And A Free Blessing",,,,,,,,
local_satire_fb68717cb4,iv_parking_compliance_001,gemini-3.5-flash,generic_issue,Isla Vista Student Ready to Risk $150 Street-Sweeping Ticket Just to See What Happens to Tina the Toad in the Tow Yard,,,,,,,,
local_satire_7c2f725e1f,iv_parking_compliance_001,gemini-3.5-flash,source_grounded,Isla Vista Hopes Cute Gen Z Mascot Will Soften Blow of Getting Ticketed to Fund Her Own Salary,,,,,,,,
local_satire_c63afbd4ca,iv_parking_compliance_001,gemini-3.5-flash,target_first_rank,Friendly Gen-Z Toad Mascot Deployed to Gently Explain Why Your Car Is Being Towed to Finance Her Salary**,,,,,,,,
local_satire_c54227fc15,iv_parking_compliance_001,gpt-5.4-mini,generic_issue,"Isla Vista Launches Parking Compliance Program, Deploys Tina the Toad to Guilt Students Into Moving Their Cars Every 72 Hours",,,,,,,,
local_satire_b3161c70e5,iv_parking_compliance_001,gpt-5.4-mini,source_grounded,Isla Vista Parking Crisis Solved by Gen Z Toad Who Will Politely Ticket You Into Compliance,,,,,,,,
local_satire_fb35558092,iv_parking_compliance_001,gpt-5.4-mini,target_first_rank,Isla Vista Launches Gen Z Toad Mascot To Explain Why Your Car Is Still Getting Ticketed,,,,,,,,
local_satire_90dfceec46,ucsb_commencement_reversal_001,gemini-3.5-flash,generic_issue,UCSB Administrators Quietly Move Commencement Back to Campus After Realizing Angry Seniors Already Have Pitchforks Left Over from Deltopia,,,,,,,,
local_satire_7c6afab5d4,ucsb_commencement_reversal_001,gemini-3.5-flash,source_grounded,UCSB Administrators Relieved To Learn Students Unbothered By Having High School and College Graduations Ruined,,,,,,,,
local_satire_d3ec4a61fb,ucsb_commencement_reversal_001,gemini-3.5-flash,target_first_rank,UCSB Grads Relieved They Will Now Get To Walk Across Scenic Lawn Instead Of Chain-Link Security Perimeter,,,,,,,,
local_satire_4ca9cbf762,ucsb_commencement_reversal_001,gpt-5.4-mini,generic_issue,UCSB Reverses Commencement Relocation After Students Remind Administrators That “The Beach” Is Still Right There,,,,,,,,
local_satire_20509c7a5b,ucsb_commencement_reversal_001,gpt-5.4-mini,source_grounded,"UCSB, After Briefly Treating Commencement Like a Security Threat, Restores Students’ Right to Graduate on Lagoon Lawn",,,,,,,,
local_satire_c673bd6628,ucsb_commencement_reversal_001,gpt-5.4-mini,target_first_rank,UCSB Reverses Plan to Move Commencement After Realizing Students Were Looking Forward to Graduating Somewhere Nice,,,,,,,,
local_satire_f2a4395177,extravaganza_lineup_announcement_001,gemini-3.5-flash,generic_issue,ASSU Admits Extravaganza 2026 Lineup Was Generated by Asking ChatGPT to Describe a ‘Vaguely Coachella-Adjacent Fever Dream’**,,,,,,,,
local_satire_1658c60821,extravaganza_lineup_announcement_001,gemini-3.5-flash,source_grounded,UCSB Student Body Briefly Pauses Relentless Cyberbullying Of Event Organizers After Dominic Fike Lineup Announcement,,,,,,,,
local_satire_66cbd47184,extravaganza_lineup_announcement_001,gemini-3.5-flash,target_first_rank,ASPB Organizers Quietly Lock Themselves in Office After Announcing Dominic Fike Instead of Reincarnated Jimi Hendrix,,,,,,,,
local_satire_22c2f865e7,extravaganza_lineup_announcement_001,gpt-5.4-mini,generic_issue,Campus Erupts as Extravaganza 2026 Lineup Finally Gives Students Exactly One Artist They’ve Pretended to Like Since Freshman Year,,,,,,,,
local_satire_25687b6272,extravaganza_lineup_announcement_001,gpt-5.4-mini,source_grounded,UCSB Students React to Extravaganza 2026 Lineup by Comparing It to Every Headliner They’ve Ever Seen on Instagram,,,,,,,,
local_satire_586c1b2444,extravaganza_lineup_announcement_001,gpt-5.4-mini,target_first_rank,UCSB Students Declare Extravaganza 2026 “Actually Pretty Good” After Briefly Pretending To Know All Four Artists,,,,,,,,
