id,source_id,model,prompt_condition,prompt,output_headline,raw_output,timestamp
local_satire_833c2ed954,ucsb_bear_sighting_001,gpt-5.4-mini,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
Bear sightings reported at UCSB, Goleta

Facts:
* UCPD reported a black bear sighting near Pollock Theater and the Intercollegiate Athletics building early in the morning.
* UCPD sent an emergency alert asking students to avoid the area, then later lifted the request after an extensive search did not locate the bear.
* Other bear sightings were reported around Goleta and near Santa Ynez Apartments during the same week.
* UCPD said the California Department of Fish and Wildlife was notified and urged students and community members to be aware of their surroundings and report sightings.
* Campus safety guidance told people to make themselves appear large, make loud noises, avoid attracting smells and not feed the bear.

Local tension:
A campus usually organized around classes, alerts and student routines briefly had to treat wildlife behavior as a public-safety issue, creating a mismatch between bureaucratic emergency messaging and the absurd image of a bear wandering through familiar UCSB spaces.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.","UCSB Sends Bear Emergency Alert, Urges Students to Stand Tall and Act Like They’ve Seen a Syllabus","UCSB Sends Bear Emergency Alert, Urges Students to Stand Tall and Act Like They’ve Seen a Syllabus",2026-06-08T03:12:13.396046+00:00
local_satire_d96fe5a912,ucsb_bear_sighting_001,gpt-5.4-mini,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
Bear sightings reported at UCSB, Goleta

Source date:
2025-04-17

Issue phrase:
bear sightings near UCSB and Goleta prompting campus safety alerts

Facts:
* UCPD reported a black bear sighting near Pollock Theater and the Intercollegiate Athletics building early in the morning.
* UCPD sent an emergency alert asking students to avoid the area, then later lifted the request after an extensive search did not locate the bear.
* Other bear sightings were reported around Goleta and near Santa Ynez Apartments during the same week.
* UCPD said the California Department of Fish and Wildlife was notified and urged students and community members to be aware of their surroundings and report sightings.
* Campus safety guidance told people to make themselves appear large, make loud noises, avoid attracting smells and not feed the bear.

Local tension:
A campus usually organized around classes, alerts and student routines briefly had to treat wildlife behavior as a public-safety issue, creating a mismatch between bureaucratic emergency messaging and the absurd image of a bear wandering through familiar UCSB spaces.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...","UCSB Issues Emergency Alert, Then Realizes It’s Just a Bear Trying to Find Pollock Theater","Target: UCSB’s overlaid emergency-alert bureaucracy colliding with the absurdity of a bear in campus space

Best headline: UCSB Issues Emergency Alert, Then Realizes It’s Just a Bear Trying to Find Pollock Theater

Brief reason: This best captures the local specificity, the official-alert tone, and the central joke: a highly structured campus safety system briefly being forced to respond to something wildly out of place. It’s grounded in the reported locations and keeps the satire focused on bureaucratic mismatch rather than random animal humor.",2026-06-08T03:12:14.989671+00:00
local_satire_64fa8c88a4,jesus_burgers_001,gemini-3.5-flash,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: Jesus Burgers as a long-running Del Playa tradition combining free food, Christian outreach and Isla Vista party culture
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.",Local Sophomore Only Accepts Jesus Christ as Savior Between Hours of 11:00 PM and 2:00 AM on Friday Nights**,**Local Sophomore Only Accepts Jesus Christ as Savior Between Hours of 11:00 PM and 2:00 AM on Friday Nights**,2026-06-08T03:12:16.217471+00:00
local_satire_1d93e3658f,jesus_burgers_001,gemini-3.5-flash,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
‘Jesus people cooking Jesus Burgers’: a look into Del Playa’s 20-year tradition

Facts:
* Since 2001, Jesus Burgers has given out free burgers on Friday nights at 6686 Del Playa Drive in Isla Vista.
* The group estimates it has served over 200,000 burgers and now gives out around 200 to 250 burgers per Friday night during the school year.
* Jesus Burgers is connected to Isla Vista Mission and other Christian groups, and volunteers often offer free blessings or conversations about faith.
* The Friday-night crowd includes intoxicated and hungry partygoers on Del Playa, creating a mix of party culture, religious outreach and late-night food demand.
* Residents and volunteers describe the effort as a way to serve and care for Isla Vista, while also acknowledging that some students joke about it, misunderstand it or treat it as strange.

Local tension:
A religious outreach project has become part of Isla Vista’s Friday-night party ecosystem, where free burgers, blessings, intoxicated students and community care all coexist in the same Del Playa ritual.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.",Local Christian Group Trying To Save Souls By Giving Drunk UCSB Students The Only Thing They Actually Care About,Local Christian Group Trying To Save Souls By Giving Drunk UCSB Students The Only Thing They Actually Care About,2026-06-08T03:12:17.440031+00:00
local_satire_6738a94882,jesus_burgers_001,gemini-3.5-flash,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
‘Jesus people cooking Jesus Burgers’: a look into Del Playa’s 20-year tradition

Source date:
2025-10-09

Issue phrase:
Jesus Burgers as a long-running Del Playa tradition combining free food, Christian outreach and Isla Vista party culture

Facts:
* Since 2001, Jesus Burgers has given out free burgers on Friday nights at 6686 Del Playa Drive in Isla Vista.
* The group estimates it has served over 200,000 burgers and now gives out around 200 to 250 burgers per Friday night during the school year.
* Jesus Burgers is connected to Isla Vista Mission and other Christian groups, and volunteers often offer free blessings or conversations about faith.
* The Friday-night crowd includes intoxicated and hungry partygoers on Del Playa, creating a mix of party culture, religious outreach and late-night food demand.
* Residents and volunteers describe the effort as a way to serve and care for Isla Vista, while also acknowledging that some students joke about it, misunderstand it or treat it as strange.

Local tension:
A religious outreach project has become part of Isla Vista’s Friday-night party ecosystem, where free burgers, blessings, intoxicated students and community care all coexist in the same Del Playa ritual.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...",Local Student Not Entirely Sure If He Accepted Jesus Christ As His Savior Or Just Really Wanted A Slice Of American Cheese,"Target: The transaction of exchanging spiritual salvation for a free, greasy late-night burger among highly intoxicated college students.

Best headline: Local Student Not Entirely Sure If He Accepted Jesus Christ As His Savior Or Just Really Wanted A Slice Of American Cheese

Brief reason: This headline perfectly captures the tension of the Del Playa tradition, highlighting how the high-stakes religious outreach of the volunteers is hilariously and realistically compromised by the primal, drunken late-night hunger of the Isla Vista partygoers.",2026-06-08T03:12:19.739587+00:00
local_satire_d68625d83e,jesus_burgers_001,gpt-5.4-mini,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: Jesus Burgers as a long-running Del Playa tradition combining free food, Christian outreach and Isla Vista party culture
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.","Jesus Burgers Tradition Helps Isla Vista Students Find God, Free Food, and A Reason to Stay on Del Playa Until 2 A.M.","Jesus Burgers Tradition Helps Isla Vista Students Find God, Free Food, and A Reason to Stay on Del Playa Until 2 A.M.",2026-06-08T03:12:20.717909+00:00
local_satire_32571de8ae,jesus_burgers_001,gpt-5.4-mini,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
‘Jesus people cooking Jesus Burgers’: a look into Del Playa’s 20-year tradition

Facts:
* Since 2001, Jesus Burgers has given out free burgers on Friday nights at 6686 Del Playa Drive in Isla Vista.
* The group estimates it has served over 200,000 burgers and now gives out around 200 to 250 burgers per Friday night during the school year.
* Jesus Burgers is connected to Isla Vista Mission and other Christian groups, and volunteers often offer free blessings or conversations about faith.
* The Friday-night crowd includes intoxicated and hungry partygoers on Del Playa, creating a mix of party culture, religious outreach and late-night food demand.
* Residents and volunteers describe the effort as a way to serve and care for Isla Vista, while also acknowledging that some students joke about it, misunderstand it or treat it as strange.

Local tension:
A religious outreach project has become part of Isla Vista’s Friday-night party ecosystem, where free burgers, blessings, intoxicated students and community care all coexist in the same Del Playa ritual.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.","Isla Vista’s Friday-Night Economy Now Powered by Free Burgers, Blessings and Regrettable Decisions","Isla Vista’s Friday-Night Economy Now Powered by Free Burgers, Blessings and Regrettable Decisions",2026-06-08T03:12:21.776932+00:00
local_satire_d0997ca802,jesus_burgers_001,gpt-5.4-mini,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
‘Jesus people cooking Jesus Burgers’: a look into Del Playa’s 20-year tradition

Source date:
2025-10-09

Issue phrase:
Jesus Burgers as a long-running Del Playa tradition combining free food, Christian outreach and Isla Vista party culture

Facts:
* Since 2001, Jesus Burgers has given out free burgers on Friday nights at 6686 Del Playa Drive in Isla Vista.
* The group estimates it has served over 200,000 burgers and now gives out around 200 to 250 burgers per Friday night during the school year.
* Jesus Burgers is connected to Isla Vista Mission and other Christian groups, and volunteers often offer free blessings or conversations about faith.
* The Friday-night crowd includes intoxicated and hungry partygoers on Del Playa, creating a mix of party culture, religious outreach and late-night food demand.
* Residents and volunteers describe the effort as a way to serve and care for Isla Vista, while also acknowledging that some students joke about it, misunderstand it or treat it as strange.

Local tension:
A religious outreach project has become part of Isla Vista’s Friday-night party ecosystem, where free burgers, blessings, intoxicated students and community care all coexist in the same Del Playa ritual.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...","Jesus Burgers Now Most Reliable Thing On Del Playa Besides Regret, Hunger, And A Free Blessing","Target: Isla Vista’s bizarrely normalized collision of party culture, religious outreach, and late-night free food

Best headline: Jesus Burgers Now Most Reliable Thing On Del Playa Besides Regret, Hunger, And A Free Blessing

Brief reason: It’s tightly grounded in the source, names the local setting, and captures the core irony: a 20-year Christian outreach effort has become part of Isla Vista’s Friday-night party ritual, where intoxicated students line up for burgers and optional spiritual support.",2026-06-08T03:12:23.207691+00:00
local_satire_fb68717cb4,iv_parking_compliance_001,gemini-3.5-flash,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: Isla Vista parking compliance program and Tina the Toad outreach mascot
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.",Isla Vista Student Ready to Risk $150 Street-Sweeping Ticket Just to See What Happens to Tina the Toad in the Tow Yard,Isla Vista Student Ready to Risk $150 Street-Sweeping Ticket Just to See What Happens to Tina the Toad in the Tow Yard,2026-06-08T03:12:24.607328+00:00
local_satire_7c2f725e1f,iv_parking_compliance_001,gemini-3.5-flash,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
IVCSD implements I.V. parking compliance program

Facts:
* The Isla Vista Community Services District planned to implement a parking compliance program in November to address longstanding parking issues in Isla Vista.
* The program aims to address health and safety concerns, mobility issues for pedestrians and disabled individuals and greenhouse gas emissions by enforcing statewide parking regulations.
* Several Isla Vista streets regularly have 60-100% parking occupancy, making parking a persistent concern for residents, students and visitors.
* IVCSD planned to introduce Tina the Toad, a Gen Z-oriented parking compliance mascot, to educate the community about parking laws in a non-threatening way through tabling, banners, giveaways and ticket-like guideline slips on cars.
* The program would eventually test ticketing for visible noncompliance, move toward a zero-tolerance policy in April and need roughly one ticket per hour to break even financially.

Local tension:
Isla Vista has a real parking shortage and safety problem, but the public-facing solution combines enforcement, revenue-neutral ticketing and a friendly youth-branded mascot meant to make parking rules feel less threatening.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.",Isla Vista Hopes Cute Gen Z Mascot Will Soften Blow of Getting Ticketed to Fund Her Own Salary,Isla Vista Hopes Cute Gen Z Mascot Will Soften Blow of Getting Ticketed to Fund Her Own Salary,2026-06-08T03:12:26.150684+00:00
local_satire_c63afbd4ca,iv_parking_compliance_001,gemini-3.5-flash,target_first_rank,"Write source-grounded Onion-style local satire from this campus/local source capsule.

Source title:
IVCSD implements I.V. parking compliance program

Source date:
2025-10-30

Issue phrase:
Isla Vista parking compliance program and Tina the Toad outreach mascot

Facts:
* The Isla Vista Community Services District planned to implement a parking compliance program in November to address longstanding parking issues in Isla Vista.
* The program aims to address health and safety concerns, mobility issues for pedestrians and disabled individuals and greenhouse gas emissions by enforcing statewide parking regulations.
* Several Isla Vista streets regularly have 60-100% parking occupancy, making parking a persistent concern for residents, students and visitors.
* IVCSD planned to introduce Tina the Toad, a Gen Z-oriented parking compliance mascot, to educate the community about parking laws in a non-threatening way through tabling, banners, giveaways and ticket-like guideline slips on cars.
* The program would eventually test ticketing for visible noncompliance, move toward a zero-tolerance policy in April and need roughly one ticket per hour to break even financially.

Local tension:
Isla Vista has a real parking shortage and safety problem, but the public-facing solution combines enforcement, revenue-neutral ticketing and a friendly youth-branded mascot meant to make parking rules feel less threatening.

Step 1: identify the satirical target in one short phrase.
Step 2: generate 5 candidate Onion-style local satire headlines.
Step 3: select the best using source relevance, local specificity, topic nuance/target, satirical bite, and coherence/non-randomness.

Output only:
Target: ...
Best headline: ...
Brief reason: ...",Friendly Gen-Z Toad Mascot Deployed to Gently Explain Why Your Car Is Being Towed to Finance Her Salary**,"Target: The deployment of a friendly, Gen-Z-pandering mascot to cushion the blow of aggressive parking enforcement and quotas.

Best headline: **Friendly Gen-Z Toad Mascot Deployed to Gently Explain Why Your Car Is Being Towed to Finance Her Salary**

Brief reason: This headline perfectly captures the local tension between the warm-and-fuzzy outreach efforts (Tina the Toad) and the cold financial reality of the new parking program, which requires a steady stream of hourly tickets to break even.",2026-06-08T03:12:27.880607+00:00
local_satire_c54227fc15,iv_parking_compliance_001,gpt-5.4-mini,generic_issue,"Write one Onion-style local satire headline about this issue:
Issue: Isla Vista parking compliance program and Tina the Toad outreach mascot
The headline should be funny, locally specific, and have a clear satirical target.
Output only one headline.","Isla Vista Launches Parking Compliance Program, Deploys Tina the Toad to Guilt Students Into Moving Their Cars Every 72 Hours","Isla Vista Launches Parking Compliance Program, Deploys Tina the Toad to Guilt Students Into Moving Their Cars Every 72 Hours",2026-06-08T03:12:34.171439+00:00
local_satire_b3161c70e5,iv_parking_compliance_001,gpt-5.4-mini,source_grounded,"Write one Onion-style local satire headline based on the source below.

Source title:
IVCSD implements I.V. parking compliance program

Facts:
* The Isla Vista Community Services District planned to implement a parking compliance program in November to address longstanding parking issues in Isla Vista.
* The program aims to address health and safety concerns, mobility issues for pedestrians and disabled individuals and greenhouse gas emissions by enforcing statewide parking regulations.
* Several Isla Vista streets regularly have 60-100% parking occupancy, making parking a persistent concern for residents, students and visitors.
* IVCSD planned to introduce Tina the Toad, a Gen Z-oriented parking compliance mascot, to educate the community about parking laws in a non-threatening way through tabling, banners, giveaways and ticket-like guideline slips on cars.
* The program would eventually test ticketing for visible noncompliance, move toward a zero-tolerance policy in April and need roughly one ticket per hour to break even financially.

Local tension:
Isla Vista has a real parking shortage and safety problem, but the public-facing solution combines enforcement, revenue-neutral ticketing and a friendly youth-branded mascot meant to make parking rules feel less threatening.

Requirements:
* clearly grounded in the source issue
* specific to UCSB, Isla Vista, or Santa Barbara when appropriate
* clear satirical target
* avoid random absurdity
* avoid inventing facts not implied by the source
* output only one headline.",Isla Vista Parking Crisis Solved by Gen Z Toad Who Will Politely Ticket You Into Compliance,Isla Vista Parking Crisis Solved by Gen Z Toad Who Will Politely Ticket You Into Compliance,2026-06-08T03:12:35.231444+00:00
